id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
11					効果なし	No effects.	无效果。	無效果。
12	強化パネル	Boost Panel	强化面板	強化面板	スキルダメージ+40%	Boosts skill damage by 40%.	技能伤害+40%。	技能傷害+40%。
13	弱体パネル	Weaken Panel	削弱面板	弱化面板	スキルダメージ-40%	Reduces skill damage by 40%.	技能伤害-40%。	技能傷害-40%。
14	バーストパネル	Burst Panel	爆发面板	爆發面板	バーストスキル発動可能	Burst skill ready.	可发动爆发技能。	可發動爆發技能。
15	麻痺パネル	Paralysis Panel	麻痹面板	麻痺面板	超高確率で麻痺を付与	Very high chance of inflicting Paralysis.	超高概率赋予麻痹。	超高機率賦予麻痺。
16	暗闇パネル	Blindness Panel	盲目面板	盲目面板	超高確率で暗闇を付与	Very high chance of inflicting Blindness.	超高概率赋予盲目。	超高機率賦予盲目。
17	バーストパネル	Burst Panel	爆发面板	爆發面板	バーストスキル発動可能	Burst skill ready.	可发动爆发技能。	可發動爆發技能。
18	麻痺パネル	Paralysis Panel	麻痹面板	麻痺面板	超高確率で麻痺を付与	Very high chance of inflicting Paralysis.	超高概率赋予麻痹。	超高機率賦予麻痺。
19	麻痺パネル	Paralysis Panel	麻痹面板	麻痺面板	超高確率で麻痺を付与	Very high chance of inflicting Paralysis.	超高概率赋予麻痹。	超高機率賦予麻痺。
20	暗闇パネル	Blindness Panel	盲目面板	盲目面板	超高確率で暗闇を付与	Very high chance of inflicting Blindness.	超高概率赋予盲目。	超高機率賦予盲目。
21	暗闇パネル	Blindness Panel	盲目面板	盲目面板	超高確率で暗闇を付与	Very high chance of inflicting Blindness.	超高概率赋予盲目。	超高機率賦予盲目。
22	強化パネル	Boost Panel	强化面板	強化面板	スキルダメージとブレイクダメージ+40%	Boosts skill damage and stun damage by 40%.	技能伤害和破防伤害+40%。	技能傷害與破防傷害+40%。
23	書き換え用	For Conversion	变换用	改寫用	書き換え用	For Conversion	变换用	改寫用
24	強化+パネル	Boost+ Panel	强化+面板	強化+面板	スキルダメージ+100%	Boosts skill damage by 100%.	技能伤害+100%。	技能傷害+100%
26	弱体+パネル	Weaken+ Panel	削弱+面板	弱化+面板	スキルダメージ-60%	Reduces skill damage by 60%.	技能伤害-60%。	技能傷害-60%。
30	クリティカルパネル	Critical Panel	暴击面板	重擊面板	確定クリティカル	Guarantees a critical hit.	必定暴击。	必定重擊。
33	加護強化パネル	Protection Boost Panel	庇护强化面板	庇護強化面板	味方全員の受けるダメージ-40%(1回)	Reduces all allies' damage received by 40%. (1 turn)	我方全体所受伤害-40%（1次）。	我方全體所受傷害-40%（1次）。
36	加護弱化パネル	Protection Weaken Panel	庇护弱化面板	庇護弱化面板	味方全員の受けるダメージ+40%(1回)	Boosts all allies' damage received by 40%. (1 turn)	我方全体所受伤害+40%（1次）。	我方全體所受傷害+40%（1次）。
39	ブレイク強化パネル	Stun Boost Panel	破防强化面板	破防強化面板	ブレイクダメージ+40%	Boosts stun damage by 40%.	破防伤害+40%。	破防傷害+40%。
42	HP回復パネル	HP Recovery Panel	恢复HP面板	HP回復面板	味方全員のHPを回復(25%)	Restores all allies' HP by 25%.	恢复我方全体HP（25%）。	回復我方全體HP（25%）。
45	火傷パネル	Burn Panel	火伤面板	燒傷面板	超高確率で火傷を付与	Very high chance to inflict Burn.	超高概率赋予火伤。	超高機率賦予燒傷。
46	麻痺+パネル	Paralysis+ Panel	麻痹+面板	麻痺+面板	超高確率で麻痺を付与\nクリティカル確率-100%\n受けるダメージ+30%(1回)	Very high chance of inflicting Paralysis.\nReduces critical rate by 100%.\nBoosts damage received by 30% for 1 turn.	超高概率赋予麻痹。\n暴击率-100%。\n所受伤害+30%（1次）。	以超高機率賦予麻痺。\n重擊率-100%。\n所受傷害+30%（1次）。
51	浮き輪パネル	Tube Panel	泳圈面板	泳圈面板	強化系パネルとして扱う<br>敵が獲得すると、「受けるダメージ+40%」を1回攻撃を受けるまで付与<br>味方が獲得すると、「クリティカルダメージ+100%」を1回行動終了するまで付与	Considered a boost-type panel.<br>When used by an enemy, boosts damage received by 40% for 1 attack.<br>When used by an ally, boosts critical damage by 100% for 1 turn.	视为强化类面板。<br>敌方获得后，被赋予“所受伤害+40%”，受到1次攻击后失效。<br>我方获得后，被赋予“暴击伤害+100%”，1次行动结束后失效。	作為強化系面板使用。<br>敵方獲得時，賦予「所受傷害+40%」，直到受1次攻擊為止。<br>我方獲得時，賦予「重擊傷害+100%」，直到行動結束1次為止。
52	麦わらパネル	Straw Hat Panel	草帽面板	草帽面板	強化系パネルとして扱う<br>敵が獲得すると、「ダメージ-40%」を1回行動終了するまで付与<br>味方が獲得すると、自身に「スキルダメージ+40％」を1回行動終了するまで付与し、味方全員に「クリティカル確率+25%(上限300%)」を付与	Considered a boost-type panel.<br>When used by an enemy, reduces damage by 40% for 1 turn.<br>When used by an ally, boosts own skill damage by 40% for 1 turn and boosts all allies' critical rates by 25%. (MAX 300%)	视为强化类面板。<br>敌方获得后，被赋予“伤害-40%”，1次行动结束后失效。<br>我方获得后，赋予自身“技能伤害+40%”，1次行动结束后失效。赋予我方全体“暴击率+25%（上限300%）”。	作為強化系面板使用。<br>敵方獲得時，賦予「傷害-40%」，直到行動結束1次為止。<br>我方獲得時，賦予自身「技能傷害+40％」，直到行動結束1次為止，並賦予我方全體「重擊率+25%（上限300%）」。
53	劇薬パネル				強化系パネルとして扱う<br>敵が獲得すると、「素早さ-3%」を2回行動終了するまで付与<br>味方が獲得すると、「スキルダメージ+50%」を1回行動終了するまで付与し<br>「受けるダメージ+3%」を1回攻撃を受けるまで付与			
54	叡智解放パネル				強化系パネルとして扱う<br>敵が獲得すると、「受ける魔法ダメージ+50%」を1回攻撃を受けるまで付与<br>味方が獲得すると、自身に「スキル威力+40％」を1回行動終了するまで付与し、<br>味方全員に「魔攻+5%」を付与(上限50%)			
