id	name	name_en	name_zh-CN	name_zh-TW
1	白砂沙帆	Saho Shirasu	Saho Shirasu	Saho Shirasu
2	沼倉愛美	Manami Numakura	Manami Numakura	Manami Numakura
3	中村悠一	Yuichi Nakamura	Yuichi Nakamura	Yuichi Nakamura
6	池澤春菜	Haruna Ikezawa	Haruna Ikezawa	Haruna Ikezawa
7	小杉十郎太	Jurota Kosugi	Jurota Kosugi	Jurota Kosugi
8	朝日奈丸佳	Madoka Asahina	Madoka Asahina	Madoka Asahina
9	長沢美樹	Miki Nagasawa	Miki Nagasawa	Miki Nagasawa
10	那須めぐみ	Megumi Nasu	Megumi Nasu	Megumi Nasu
11	神田理江	Rie Kanda	Rie Kanda	Rie Kanda
12	下屋則子	Noriko Shitaya	Noriko Shitaya	Noriko Shitaya
13	石田彰	Akira Ishida	Akira Ishida	Akira Ishida
14	小野大輔	Daisuke Ono	Daisuke Ono	Daisuke Ono
15	門脇舞以	Mai Kadowaki	Mai Kadowaki	Mai Kadowaki
16	柴田芽衣	Mei Shibata	Mei Shibata	Mei Shibata
17	立花慎之介	Shinnosuke Tachibana	Shinnosuke Tachibana	Shinnosuke Tachibana
18	明坂聡美	Satomi Akesaka	Satomi Akesaka	Satomi Akesaka
19	井上麻里奈	Marina Inoue	Marina Inoue	Marina Inoue
20	瀬戸麻沙美	Asami Seto	Asami Seto	Asami Seto
21	小清水亜美	Ami Koshimizu	Ami Koshimizu	Ami Koshimizu
22	植田佳奈	Kana Ueda	Kana Ueda	Kana Ueda
23	中田譲治	Jouji Nakata	Jouji Nakata	Jouji Nakata
24	佐土原かおり	Kaori Sadohara	Kaori Sadohara	Kaori Sadohara
25	村川梨衣	Rie Murakawa	Rie Murakawa	Rie Murakawa
26	小岩井ことり	Kotori Koiwai	Kotori Koiwai	Kotori Koiwai
27	相坂優歌	Yuuka Aisaka	Yuuka Aisaka	Yuuka Aisaka
28	井口裕香	Yuka Iguchi	Yuka Iguchi	Yuka Iguchi
29	洲崎綾	Aya Suzaki	Aya Suzaki	Aya Suzaki
30	近藤唯	Yui Kondo	Yui Kondo	Yui Kondo
31	山下誠一郎	Seiichiro Yamashita	Seiichiro Yamashita	Seiichiro Yamashita
32	仲谷明香	Sayaka Nakaya	Sayaka Nakaya	Sayaka Nakaya
33	本渡楓	Kaede Hondo	Kaede Hondo	Kaede Hondo
34	長縄まりあ	Maria Naganawa	Maria Naganawa	Maria Naganawa
35	赤尾ひかる	Hikaru Akao	Hikaru Akao	Hikaru Akao
36	のぐちゆり	Yuri Noguchi	Yuri Noguchi	Yuri Noguchi
37	寺島拓篤	Takuma Terashima	Takuma Terashima	Takuma Terashima
39	大和田仁美	Hitomi Ohwada	Hitomi Ohwada	Hitomi Ohwada
40	田中美海	Minami Tanaka	Minami Tanaka	Minami Tanaka
41	広瀬裕也	Yuya Hirose	Yuya Hirose	Yuya Hirose
42	能登麻美子	Mamiko Noto	Mamiko Noto	Mamiko Noto
43	大空直美	Naomi Ohzora	Naomi Ohzora	Naomi Ohzora
44	大野柚布子	Yuko Ono	Yuko Ono	Yuko Ono
45	小西克幸	Katsuyuki Konishi	Katsuyuki Konishi	Katsuyuki Konishi
46	水沢史絵	Fumie Mizusawa	Fumie Mizusawa	Fumie Mizusawa
47	伊瀬茉莉也	Mariya Ise	Mariya Ise	Mariya Ise
48	佐藤利奈	Rina Sato	Rina Sato	Rina Sato
49	名塚佳織	Kaori Nazuka	Kaori Nazuka	Kaori Nazuka
50	石川界人	Kaito Ishikawa	Kaito Ishikawa	Kaito Ishikawa
51	野島裕史	Hirofumi Nojima	Hirofumi Nojima	Hirofumi Nojima
52	照井春佳	Haruka Terui	Haruka Terui	Haruka Terui
53	上坂すみれ	Sumire Uesaka	Sumire Uesaka	Sumire Uesaka
54	久川綾	Aya Hisakawa	Aya Hisakawa	Aya Hisakawa
55	長谷川育美	Ikumi Hasegawa	Ikumi Hasegawa	Ikumi Hasegawa
56	瑞沢渓	Kei Mizusawa	Kei Mizusawa	Kei Mizusawa
57	芹澤優	Yu Serizawa	Yu Serizawa	Yu Serizawa
58	愛原ありさ	Arisa Aihara	Arisa Aihara	Arisa Aihara
59	千本木彩花	Sembongi Sayaka	Sembongi Sayaka	Sembongi Sayaka
60	佐々木李子	Sasaki Rico	Sasaki Rico	Sasaki Rico
61	大久保瑠美	Rumi Okubo	Rumi Okubo	Rumi Okubo
62	田丸篤志	Tamaru Atsushi	Tamaru Atsushi	Tamaru Atsushi
63	石見舞菜香	Manaka Iwami	Manaka Iwami	Manaka Iwami
64	平川大輔	Daisuke Hirakawa	Daisuke Hirakawa	Daisuke Hirakawa
65	伊藤静			
66	吉住梢			
67	金子彩花			
68	鈴木愛奈			
69	後藤彩佐			
